State,Rate
AZ,7.71
AZ,6.37
AZ,6.49
AZ,6.39
AZ,6.49
AZ,6.46
AZ,6.65
AZ,7.6
AZ,7.95
AZ,7.62
AZ,7.84
AZ,7.71
AZ,7.72
AZ,6.51
AZ,6.56
AZ,6.46
AZ,6.71
AZ,6.64
AZ,6.79
AZ,7.78
AZ,7.99
AZ,7.78
AZ,7.88
AZ,7.79
AZ,7.79
AZ,6.62
AZ,6.66
AZ,6.63
AZ,6.82
AZ,6.78
AZ,6.9
AZ,7.84
AZ,7.96
AZ,7.91
AZ,7.94
AZ,7.94
AZ,7.63
AZ,7.05
AZ,7.08
AZ,6.97
AZ,7.08
AZ,7.05
AZ,7.38
AZ,8.2
AZ,8.32
AZ,8.32
AZ,8.3
AZ,8.32
AZ,8.12
AZ,7.11
AZ,7.09
AZ,7.16
AZ,7.2
AZ,7.22
AZ,7.61
AZ,8.69
AZ,8.89
AZ,8.91
AZ,8.86
AZ,8.83
AZ,8.66
AZ,7.66
AZ,7.69
AZ,7.52
AZ,7.59
AZ,7.72
AZ,7.88
AZ,8.8
AZ,8.84
AZ,9.37
AZ,9.3
AZ,9.12
AZ,8.93
AZ,8.03
AZ,7.92
AZ,8.04
AZ,8.16
AZ,8.26
AZ,8.61
AZ,9.44
AZ,9.89
AZ,10.01
AZ,9.99
AZ,9.5
AZ,9.19
AZ,8.36
AZ,8.48
AZ,8.48
AZ,8.67
AZ,8.71
AZ,9.04
AZ,10.04
AZ,10.12
AZ,10.38
AZ,10.39
AZ,10.09
AZ,9.74
AZ,8.76
AZ,8.65
AZ,8.54
AZ,8.68
AZ,8.71
AZ,8.85
